Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000134070.5	4.3	4.65	4.06	1.92	2.09	1.86	IRAK2	chr3	protein_coding	interleukin 1 receptor associated kinase 2
ENSG00000258701.1	0.21	0.14	0.17	0.44	0.59	0.82	LINC00638	chr14	lncRNA	long intergenic non-protein coding RNA 638
ENSG00000124733.5	18.08	18.49	18.76	18.79	18.33	17.64	MEA1	chr6	protein_coding	male-enhanced antigen 1
ENSG00000105866.15	0.26	0.19	0.27	0.34	0.55	0.38	SP4	chr7	protein_coding	Sp4 transcription factor
ENSG00000183733.6	0.0	0.04	0.0	0.0	0.0	0.0	FIGLA	chr2	protein_coding	folliculogenesis specific bHLH transcription factor
ENSG00000178342.4	0.01	0.0	0.0	0.0	0.04	0.02	KCNG2	chr18	protein_coding	potassium voltage-gated channel modifier subfamily G member 2
ENSG00000155275.19	0.59	0.74	0.6	0.51	0.47	0.54	TRMT44	chr4	protein_coding	tRNA methyltransferase 44 homolog
ENSG00000054392.13	0.33	0.27	0.28	0.46	0.53	0.52	HHAT	chr1	protein_coding	hedgehog acyltransferase
ENSG00000163406.11	0.03	0.05	0.06	0.1	0.09	0.08	SLC15A2	chr3	protein_coding	solute carrier family 15 member 2
ENSG00000257159.1	0.0	0.0	0.0	0.0	0.04	0.0	RP11-58A17.3	chr12	processed_pseudogene	--
ENSG00000280083.1	0.0	0.0	0.04	0.12	0.04	0.05	RP11-317J9.1	chr2	TEC	--
ENSG00000106536.21	0.0	0.0	0.0	0.01	0.0	0.0	POU6F2	chr7	protein_coding	POU class 6 homeobox 2
ENSG00000250155.2	0.0	0.0	0.0	0.01	0.0	0.0	CTD-2353F22.1	chr5	lncRNA	--
ENSG00000288398.1	1.19	0.75	1.4	1.61	1.34	1.39	RP4-733M16.8	chr1	lncRNA	--
ENSG00000075826.17	0.07	0.08	0.07	0.72	0.79	0.71	SEC31B	chr10	protein_coding	SEC31 homolog B, COPII coat complex component
ENSG00000136383.7	0.0	0.01	0.0	0.07	0.05	0.07	ALPK3	chr15	protein_coding	alpha kinase 3
ENSG00000259772.6	0.63	0.75	0.73	1.36	1.25	1.36	RP11-16E12.2	chr15	lncRNA	--
ENSG00000100218.12	0.43	0.41	0.57	0.87	0.95	0.72	RSPH14	chr22	protein_coding	radial spoke head 14 homolog
ENSG00000226002.1	0.05	0.1	0.0	0.18	0.18	0.04	GTF2IP14	chr7	unprocessed_pseudogene	general transcription factor IIi pseudogene 14
ENSG00000265706.1	0.0	0.0	0.0	0.34	0.34	0.0	SNORD53B	chr2	snoRNA	small nucleolar RNA, C/D box 53B
ENSG00000248794.1	0.61	0.11	0.26	1.36	0.99	0.68	CTD-2248H3.1	chr5	processed_pseudogene	--
ENSG00000266708.1	0.59	0.12	0.48	0.3	0.41	0.44	RP11-661O13.1	chr18	lncRNA	--
ENSG00000239672.8	136.99	137.45	134.31	102.24	100.74	96.06	NME1	chr17	protein_coding	NME/NM23 nucleoside diphosphate kinase 1
ENSG00000256232.1	0.0	0.0	0.0	0.0	0.03	0.0	LINC02387	chr12	lncRNA	long intergenic non-protein coding RNA 2387
ENSG00000184731.6	0.63	0.6	0.61	0.66	0.48	0.59	FAM110C	chr2	protein_coding	family with sequence similarity 110 member C
ENSG00000259283.2	0.04	0.0	0.0	0.0	0.0	0.0	RP11-26L20.3	chr16	lncRNA	--
ENSG00000231579.3	0.0	0.0	0.04	0.0	0.0	0.0	RPL7P21	chr5	processed_pseudogene	ribosomal protein L7 pseudogene 21
ENSG00000130382.9	5.11	5.13	5.16	4.94	4.99	5.42	MLLT1	chr19	protein_coding	MLLT1 super elongation complex subunit
ENSG00000128973.13	4.12	4.61	4.42	4.71	4.56	4.26	CLN6	chr15	protein_coding	CLN6 transmembrane ER protein
ENSG00000232973.13	0.06	0.05	0.04	0.04	0.05	0.07	CYP1B1-AS1	chr2	lncRNA	CYP1B1 antisense RNA 1
ENSG00000112077.17	0.01	0.0	0.01	0.02	0.07	0.03	RHAG	chr6	protein_coding	Rh associated glycoprotein
ENSG00000082556.14	0.0	0.0	0.0	0.01	0.01	0.0	OPRK1	chr8	protein_coding	opioid receptor kappa 1
ENSG00000227260.2	0.18	0.0	0.04	0.09	0.09	0.21	LINC01985	chr3	lncRNA	long intergenic non-protein coding RNA 1985
ENSG00000275401.1	0.15	0.04	0.0	0.07	0.15	0.18	RP4-564F22.7	chr20	lncRNA	--
ENSG00000065559.15	6.15	6.53	6.93	5.76	5.55	5.64	MAP2K4	chr17	protein_coding	mitogen-activated protein kinase kinase 4
ENSG00000163864.17	0.1	0.13	0.1	0.15	0.17	0.18	NMNAT3	chr3	protein_coding	nicotinamide nucleotide adenylyltransferase 3
ENSG00000256006.1	0.3	0.34	0.09	0.29	0.2	0.48	AC084117.3	chr11	lncRNA	--
ENSG00000114796.16	0.45	0.36	0.44	1.07	0.92	0.99	KLHL24	chr3	protein_coding	kelch like family member 24
ENSG00000204086.4	0.02	0.06	0.05	0.07	0.02	0.05	RPA4	chrX	protein_coding	replication protein A4
ENSG00000288349.1	0.01	0.0	0.0	0.0	0.0	0.0	RP11-589F5.3	chr5	processed_pseudogene	--
ENSG00000267580.1	2.56	2.2	1.49	1.36	1.79	1.11	CTD-2540B15.11	chr19	lncRNA	--
ENSG00000110274.16	0.72	0.81	0.75	0.89	0.7	0.86	CEP164	chr11	protein_coding	centrosomal protein 164
ENSG00000152684.11	9.56	9.87	9.76	8.26	8.17	8.52	PELO	chr5	protein_coding	pelota mRNA surveillance and ribosome rescue factor
ENSG00000225721.5	1.39	1.38	1.35	1.1	1.19	1.03	RP11-269F19.10	chr1	lncRNA	--
ENSG00000187838.17	6.8	5.98	6.71	6.44	5.9	5.83	PLSCR3	chr17	protein_coding	phospholipid scramblase 3
ENSG00000105808.18	0.01	0.01	0.02	0.03	0.02	0.01	RASA4	chr7	protein_coding	RAS p21 protein activator 4
ENSG00000285656.1	0.0	0.03	0.0	0.0	0.0	0.03	RP11-810P12.8	chr11	lncRNA	--
ENSG00000119912.18	2.9	2.86	3.06	3.13	2.98	3.05	IDE	chr10	protein_coding	insulin degrading enzyme
ENSG00000131379.10	0.0	0.01	0.01	0.04	0.03	0.02	C3orf20	chr3	protein_coding	chromosome 3 open reading frame 20
ENSG00000064545.15	4.53	4.32	4.72	6.87	6.85	6.3	TMEM161A	chr19	protein_coding	transmembrane protein 161A
ENSG00000179588.9	1.52	1.4	1.4	2.02	1.76	2.0	ZFPM1	chr16	protein_coding	zinc finger protein, FOG family member 1
ENSG00000106683.15	4.51	4.58	4.74	2.5	2.0	1.91	LIMK1	chr7	protein_coding	LIM domain kinase 1
ENSG00000211890.4	0.08	0.06	0.08	0.0	0.04	0.0	IGHA2	chr14	IG_C_gene	immunoglobulin heavy constant alpha 2 (A2m marker)
ENSG00000106086.20	0.6	0.77	0.67	1.06	0.8	0.98	PLEKHA8	chr7	protein_coding	pleckstrin homology domain containing A8
ENSG00000062582.14	47.0	45.93	48.34	38.66	34.82	33.05	MRPS24	chr7	protein_coding	mitochondrial ribosomal protein S24
ENSG00000226519.2	0.0	0.0	0.01	0.0	0.01	0.0	LINC00390	chr13	lncRNA	long intergenic non-protein coding RNA 390
ENSG00000225657.2	0.0	0.0	0.0	0.03	0.0	0.0	LINC01716	chr20	lncRNA	long intergenic non-protein coding RNA 1716
ENSG00000176046.9	3.15	2.79	2.87	12.43	11.13	10.63	NUPR1	chr16	protein_coding	nuclear protein 1, transcriptional regulator
ENSG00000155016.18	0.29	0.38	0.3	0.5	0.61	0.52	CYP2U1	chr4	protein_coding	cytochrome P450 family 2 subfamily U member 1
ENSG00000258457.5	0.26	0.31	0.29	0.54	0.68	0.64	RP11-298I3.4	chr14	lncRNA	--
ENSG00000258613.1	0.0	0.0	0.05	0.0	0.0	0.0	RPL21P7	chr14	processed_pseudogene	ribosomal protein L21 pseudogene 7
ENSG00000065457.11	2.79	2.49	2.51	2.9	2.7	2.9	ADAT1	chr16	protein_coding	adenosine deaminase tRNA specific 1
ENSG00000266980.1	0.03	0.1	0.03	0.06	0.03	0.12	RP11-552F3.4	chr17	lncRNA	--
ENSG00000166889.14	9.48	9.58	9.4	10.65	9.89	10.04	PATL1	chr11	protein_coding	PAT1 homolog 1, processing body mRNA decay factor
ENSG00000227477.1	0.05	0.07	0.05	0.15	0.12	0.16	STK4-AS1	chr20	lncRNA	STK4 antisense RNA 1 (head to head)
ENSG00000140259.7	10.37	10.36	10.9	12.98	11.87	12.35	MFAP1	chr15	protein_coding	microfibril associated protein 1
ENSG00000130764.10	9.07	9.5	10.03	7.15	6.88	7.01	LRRC47	chr1	protein_coding	leucine rich repeat containing 47
ENSG00000026652.15	0.19	0.23	0.22	0.34	0.33	0.39	AGPAT4	chr6	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 4
ENSG00000247950.7	0.11	0.07	0.07	0.17	0.18	0.14	SEC24B-AS1	chr4	lncRNA	SEC24B antisense RNA 1
ENSG00000159147.18	3.46	3.3	3.5	2.71	2.57	2.7	DONSON	chr21	protein_coding	DNA replication fork stabilization factor DONSON
ENSG00000118160.14	0.05	0.03	0.05	0.01	0.07	0.02	SLC8A2	chr19	protein_coding	solute carrier family 8 member A2
ENSG00000234118.1	0.13	0.2	0.15	0.04	0.0	0.09	RPL13AP6	chr10	processed_pseudogene	ribosomal protein L13a pseudogene 6
ENSG00000145949.11	0.02	0.01	0.03	0.02	0.04	0.03	MYLK4	chr6	protein_coding	myosin light chain kinase family member 4
ENSG00000081087.15	4.28	4.29	4.82	4.63	5.11	5.04	OSTM1	chr6	protein_coding	osteoclastogenesis associated transmembrane protein 1
ENSG00000169919.17	7.34	6.61	7.39	11.56	10.98	10.34	GUSB	chr7	protein_coding	glucuronidase beta
ENSG00000174799.11	0.43	0.4	0.49	0.53	0.63	0.58	CEP135	chr4	protein_coding	centrosomal protein 135
ENSG00000125449.7	12.08	11.11	11.58	7.51	7.0	6.56	ARMC7	chr17	protein_coding	armadillo repeat containing 7
ENSG00000241852.10	2.89	3.11	3.35	3.78	3.65	3.45	C8orf58	chr8	protein_coding	chromosome 8 open reading frame 58
ENSG00000257949.7	0.0	0.0	0.02	0.0	0.0	0.0	TEN1	chr17	protein_coding	TEN1 subunit of CST complex
ENSG00000074590.14	1.71	1.87	1.97	2.05	1.69	2.02	NUAK1	chr12	protein_coding	NUAK family kinase 1
ENSG00000173933.21	0.68	0.55	0.68	1.25	1.1	1.07	RBM4	chr11	protein_coding	RNA binding motif protein 4
ENSG00000152457.18	0.65	0.61	0.65	0.59	0.57	0.63	DCLRE1C	chr10	protein_coding	DNA cross-link repair 1C
ENSG00000173011.12	2.53	2.58	2.64	3.45	3.75	3.94	TADA2B	chr4	protein_coding	transcriptional adaptor 2B
ENSG00000214087.9	11.81	11.89	11.67	17.39	15.83	16.61	ARL16	chr17	protein_coding	ADP ribosylation factor like GTPase 16
ENSG00000185974.7	0.0	0.0	0.0	0.01	0.0	0.0	GRK1	chr13	protein_coding	G protein-coupled receptor kinase 1
ENSG00000285859.1	0.03	0.06	0.05	0.05	0.0	0.04	RP11-80K21.4	chr10	lncRNA	--
ENSG00000234612.1	0.0	0.08	0.0	0.0	0.0	0.0	H2AZP5	chr10	processed_pseudogene	H2A.Z histone pseudogene 5
ENSG00000258534.1	0.0	0.0	0.04	0.0	0.0	0.04	CTD-2134A5.4	chr14	lncRNA	--
ENSG00000257048.1	0.0	0.0	0.0	0.0	0.0	0.05	LINC02417	chr12	lncRNA	long intergenic non-protein coding RNA 2417
ENSG00000241782.1	0.0	0.0	0.05	0.0	0.11	0.06	RP11-91P24.1	chr11	processed_pseudogene	--
ENSG00000154319.16	1.68	1.42	1.62	0.8	0.6	0.53	FAM167A	chr8	protein_coding	family with sequence similarity 167 member A
ENSG00000118298.12	0.0	0.01	0.0	0.01	0.04	0.02	CA14	chr1	protein_coding	carbonic anhydrase 14
ENSG00000261915.6	2.97	3.1	2.78	3.31	3.1	3.24	RP11-542C16.2	chr17	protein_coding	--
ENSG00000100253.13	0.02	0.0	0.0	0.06	0.12	0.07	MIOX	chr22	protein_coding	myo-inositol oxygenase
ENSG00000174775.18	24.04	25.9	25.2	20.77	19.92	18.46	HRAS	chr11	protein_coding	HRas proto-oncogene, GTPase
ENSG00000197575.6	0.07	0.0	0.0	0.0	0.0	0.0	RPS17P2	chr5	processed_pseudogene	ribosomal protein S17 pseudogene 2
ENSG00000100104.13	7.05	6.68	6.82	4.82	4.7	4.74	SRRD	chr22	protein_coding	SRR1 domain containing
ENSG00000244255.5	1.17	0.96	1.12	3.93	3.69	3.78	XXbac-BPG116M5.17	chr6	protein_coding	--
ENSG00000090376.11	0.01	0.02	0.03	0.03	0.01	0.01	IRAK3	chr12	protein_coding	interleukin 1 receptor associated kinase 3
ENSG00000090581.11	3.5	3.58	3.68	6.95	6.5	6.56	GNPTG	chr16	protein_coding	N-acetylglucosamine-1-phosphate transferase subunit gamma
ENSG00000148346.12	2.49	1.76	1.95	4.1	3.33	3.46	LCN2	chr9	protein_coding	lipocalin 2
ENSG00000252965.1	0.77	0.28	1.55	1.24	1.26	0.99	Y_RNA	chr3	misc_RNA	--
ENSG00000064995.18	8.68	9.0	8.83	10.04	9.41	10.0	TAF11	chr6	protein_coding	TATA-box binding protein associated factor 11
ENSG00000157514.17	1.9	1.75	1.68	4.04	4.33	4.29	TSC22D3	chrX	protein_coding	TSC22 domain family member 3
ENSG00000197971.16	0.98	0.98	0.98	0.83	0.9	0.86	MBP	chr18	protein_coding	myelin basic protein
ENSG00000146535.14	6.09	6.33	6.51	8.54	9.75	9.82	GNA12	chr7	protein_coding	G protein subunit alpha 12
ENSG00000120875.9	17.26	17.48	17.21	16.91	16.88	16.89	DUSP4	chr8	protein_coding	dual specificity phosphatase 4
ENSG00000078401.7	22.48	22.4	23.12	27.85	27.95	28.81	EDN1	chr6	protein_coding	endothelin 1
ENSG00000079689.14	0.39	0.12	0.21	0.55	0.65	0.3	SCGN	chr6	protein_coding	secretagogin, EF-hand calcium binding protein
ENSG00000284726.1	0.05	0.0	0.0	0.0	0.0	0.0	RP5-1057J7.8	chr1	lncRNA	--
ENSG00000142185.17	1.48	1.55	1.64	1.1	1.13	1.12	TRPM2	chr21	protein_coding	transient receptor potential cation channel subfamily M member 2
ENSG00000287249.1	0.03	0.04	0.25	0.28	0.12	0.15	AC004800.1	chr7	lncRNA	--
ENSG00000239219.2	0.0	0.0	0.0	0.0	0.0	0.01	RP11-379K17.4	chr3	lncRNA	--
ENSG00000175874.10	0.13	0.18	0.24	0.08	0.09	0.1	CREG2	chr2	protein_coding	cellular repressor of E1A stimulated genes 2
ENSG00000287296.1	0.21	0.05	0.14	0.71	0.4	0.44	CTC-250I14.7	chr19	lncRNA	--
ENSG00000259075.6	1.97	1.93	2.09	4.11	4.0	3.66	POC1B-GALNT4	chr12	protein_coding	POC1B-GALNT4 readthrough
ENSG00000276334.1	0.42	0.32	0.35	0.54	0.69	0.53	AL133243.1	chr2	lncRNA	--
ENSG00000240497.3	0.0	0.17	0.05	0.02	0.04	0.0	RP11-185E8.1	chr3	lncRNA	--
ENSG00000149582.16	0.07	0.0	0.01	0.05	0.03	0.04	TMEM25	chr11	protein_coding	transmembrane protein 25
ENSG00000130720.13	0.67	0.66	0.68	1.08	1.16	1.14	FIBCD1	chr9	protein_coding	fibrinogen C domain containing 1
ENSG00000126524.10	23.18	27.55	25.63	30.95	29.62	30.73	SBDS	chr7	protein_coding	SBDS ribosome maturation factor
ENSG00000177853.14	0.85	0.95	0.96	1.73	1.78	2.05	ZNF518A	chr10	protein_coding	zinc finger protein 518A
ENSG00000135960.10	0.02	0.03	0.02	0.07	0.03	0.05	EDAR	chr2	protein_coding	ectodysplasin A receptor
ENSG00000117713.20	1.58	1.71	1.59	2.3	2.43	2.38	ARID1A	chr1	protein_coding	AT-rich interaction domain 1A
ENSG00000119471.15	5.19	5.16	5.79	9.42	9.5	9.37	HSDL2	chr9	protein_coding	hydroxysteroid dehydrogenase like 2
ENSG00000243083.7	0.02	0.02	0.03	0.08	0.04	0.03	LINC00870	chr3	lncRNA	long intergenic non-protein coding RNA 870
ENSG00000115109.14	0.98	0.9	0.95	1.6	1.61	1.59	EPB41L5	chr2	protein_coding	erythrocyte membrane protein band 4.1 like 5
ENSG00000260884.1	0.0	0.06	0.14	0.0	0.0	0.0	AC009120.5	chr16	lncRNA	--
ENSG00000226193.1	0.64	0.39	0.24	0.14	0.21	0.14	RP3-398G3.5	chr6	lncRNA	--
ENSG00000258232.2	66.78	70.9	59.71	49.98	61.69	52.98	RP11-161H23.5	chr12	lncRNA	--
ENSG00000214694.12	0.0	0.01	0.0	0.0	0.03	0.0	ARHGEF33	chr2	protein_coding	Rho guanine nucleotide exchange factor 33
ENSG00000226652.3	0.15	0.08	0.17	0.17	0.02	0.29	PSMD10P2	chr3	transcribed_processed_pseudogene	proteasome 26S subunit, non-ATPase, 10 pseudogene 2
ENSG00000201592.1	0.0	0.0	0.0	0.0	0.0	0.65	ENSG10010138924.1	chrX	snoRNA	--
ENSG00000236478.2	0.0	0.0	0.0	0.0	0.0	0.02	AC012513.4	chr2	processed_pseudogene	--
ENSG00000233590.1	0.0	0.0	0.0	0.05	0.0	0.0	LINC02640	chr10	lncRNA	long intergenic non-protein coding RNA 2640
ENSG00000072135.13	4.48	4.7	4.73	3.3	3.18	3.15	PTPN18	chr2	protein_coding	protein tyrosine phosphatase non-receptor type 18
ENSG00000207751.3	0.32	0.25	0.24	0.34	0.51	0.48	KB-1440D3.16	chr22	lncRNA	--
ENSG00000065485.20	7.74	8.16	7.74	10.15	10.45	9.83	PDIA5	chr3	protein_coding	protein disulfide isomerase family A member 5
ENSG00000271853.5	1.04	0.94	1.01	1.32	1.05	0.74	RP1-178F15.5	chr1	lncRNA	--
ENSG00000277782.1	0.21	1.01	1.44	1.35	1.86	1.55	RP11-775C24.5	chr15	lncRNA	--
ENSG00000169604.21	2.01	1.96	2.09	2.29	2.39	2.47	ANTXR1	chr2	protein_coding	ANTXR cell adhesion molecule 1
ENSG00000244560.7	0.02	0.01	0.01	0.19	0.13	0.19	RP4-800G7.2	chr7	transcribed_unprocessed_pseudogene	--
ENSG00000114812.13	0.23	0.23	0.24	0.17	0.16	0.26	VIPR1	chr3	protein_coding	vasoactive intestinal peptide receptor 1
ENSG00000079134.12	1.28	1.5	1.45	1.63	1.66	1.69	THOC1	chr18	protein_coding	THO complex 1
ENSG00000136720.7	4.02	4.15	3.81	4.26	4.34	4.17	HS6ST1	chr2	protein_coding	heparan sulfate 6-O-sulfotransferase 1
ENSG00000196566.2	0.11	0.0	0.0	0.04	0.14	0.0	RP11-57C13.3	chr10	lncRNA	--
ENSG00000100106.22	3.18	2.66	2.84	6.82	6.67	6.9	TRIOBP	chr22	protein_coding	TRIO and F-actin binding protein
ENSG00000010327.10	0.02	0.04	0.02	0.04	0.02	0.02	STAB1	chr3	protein_coding	stabilin 1
ENSG00000262468.6	0.15	0.13	0.19	0.44	0.45	0.43	LINC01569	chr16	lncRNA	long intergenic non-protein coding RNA 1569
ENSG00000283541.1	0.0	0.06	0.05	0.0	0.05	0.0	RP11-101E5.7	chr9	unprocessed_pseudogene	--
ENSG00000166974.13	4.38	4.55	4.37	5.39	5.27	5.59	MAPRE2	chr18	protein_coding	microtubule associated protein RP/EB family member 2
ENSG00000259536.5	0.13	0.16	0.12	0.19	0.53	0.37	RP11-111A22.1	chr15	lncRNA	--
ENSG00000143155.13	12.06	12.27	12.45	12.94	12.75	12.25	TIPRL	chr1	protein_coding	TOR signaling pathway regulator
ENSG00000273792.1	0.0	0.0	0.0	0.0	0.02	0.0	RP11-554D20.2	chr15	lncRNA	--
ENSG00000012822.16	1.06	1.05	1.04	2.21	2.4	2.44	CALCOCO1	chr12	protein_coding	calcium binding and coiled-coil domain 1
ENSG00000269980.1	0.0	0.0	0.14	0.08	0.0	0.0	RP11-282O18.7	chr12	lncRNA	--
ENSG00000276823.1	0.08	0.18	0.0	0.08	0.0	0.0	Metazoa_SRP	chrX	misc_RNA	--
ENSG00000227927.2	0.0	0.0	0.0	0.0	0.0	0.03	MACROD2-IT1	chr20	lncRNA	MACROD2 intronic transcript 1
ENSG00000186847.6	1.99	0.9	0.44	0.47	0.5	0.28	KRT14	chr17	protein_coding	keratin 14
ENSG00000242114.6	1.72	1.49	1.94	0.93	0.48	0.59	MTFP1	chr22	protein_coding	mitochondrial fission process 1
ENSG00000230490.3	0.0	0.0	0.01	0.02	0.02	0.03	RP11-141M1.3	chr13	lncRNA	--
ENSG00000166024.14	3.68	3.35	3.89	3.43	3.61	3.44	R3HCC1L	chr10	protein_coding	R3H domain and coiled-coil containing 1 like
ENSG00000213930.12	3.86	3.69	3.48	4.02	3.83	3.67	GALT	chr9	protein_coding	galactose-1-phosphate uridylyltransferase
ENSG00000230592.2	0.09	0.2	0.21	0.33	0.18	0.09	RPSAP8	chrX	processed_pseudogene	ribosomal protein SA pseudogene 8
ENSG00000085999.13	2.08	2.18	2.24	1.36	1.21	1.2	RAD54L	chr1	protein_coding	RAD54 like
ENSG00000153237.18	0.04	0.1	0.12	0.12	0.2	0.1	CCDC148	chr2	protein_coding	coiled-coil domain containing 148
ENSG00000196914.9	1.28	1.31	1.33	1.05	1.08	1.16	ARHGEF12	chr11	protein_coding	Rho guanine nucleotide exchange factor 12
ENSG00000145982.13	2.1	1.77	2.03	1.43	1.41	1.59	FARS2	chr6	protein_coding	phenylalanyl-tRNA synthetase 2, mitochondrial
ENSG00000272679.1	5.73	6.13	6.14	8.15	9.34	9.52	RP11-216L13.18	chr9	lncRNA	--
ENSG00000258798.1	0.0	0.0	0.0	0.26	0.26	0.17	RP11-895M11.3	chr14	lncRNA	--
ENSG00000002549.13	7.96	7.4	7.1	7.29	7.05	7.43	LAP3	chr4	protein_coding	leucine aminopeptidase 3
ENSG00000274737.1	0.11	0.0	0.09	0.05	0.21	0.1	RP5-1057I20.6	chr12	lncRNA	--
ENSG00000176248.9	5.16	5.24	5.47	3.68	3.47	3.13	ANAPC2	chr9	protein_coding	anaphase promoting complex subunit 2
ENSG00000235267.1	0.0	0.0	0.0	0.0	0.13	0.0	AC074117.13	chr2	processed_pseudogene	--
ENSG00000043514.17	1.67	1.84	2.04	1.75	1.75	2.02	TRIT1	chr1	protein_coding	tRNA isopentenyltransferase 1
ENSG00000250615.1	0.57	1.02	0.61	0.61	0.83	1.22	CTC-564N23.2	chr5	lncRNA	--
ENSG00000060982.15	0.73	0.71	0.86	1.16	1.09	1.11	BCAT1	chr12	protein_coding	branched chain amino acid transaminase 1
ENSG00000224846.3	0.06	0.21	0.14	0.09	0.11	0.07	NQO2-AS1	chr6	lncRNA	NQO2 antisense RNA 1
ENSG00000230844.3	0.93	1.12	0.95	1.57	1.2	1.0	ZNF674-AS1	chrX	lncRNA	ZNF674 antisense RNA 1 (head to head)
ENSG00000277901.1	0.0	0.07	0.05	0.12	0.19	0.06	RP5-851M4.1	chr20	lncRNA	--
ENSG00000168646.13	2.33	2.39	2.2	2.32	2.19	2.41	AXIN2	chr17	protein_coding	axin 2
ENSG00000255135.4	3.1	3.43	3.5	5.35	5.04	4.76	RP11-111M22.3	chr11	lncRNA	--
ENSG00000273687.1	0.08	0.18	0.0	0.71	0.4	0.24	RP5-837J1.6	chr17	lncRNA	--
ENSG00000287091.1	0.36	0.24	0.31	0.28	0.28	0.24	RP11-357L2.2	chr2	lncRNA	--
ENSG00000255468.7	0.31	0.22	0.33	0.28	0.26	0.34	RP11-867G23.8	chr11	lncRNA	--
ENSG00000233514.1	0.15	0.59	0.39	0.07	0.22	0.07	RP11-570P14.1	chr1	processed_pseudogene	--
ENSG00000185149.6	0.02	0.02	0.04	0.02	0.01	0.01	NPY2R	chr4	protein_coding	neuropeptide Y receptor Y2
ENSG00000173406.16	0.14	0.19	0.17	0.27	0.27	0.26	DAB1	chr1	protein_coding	DAB adaptor protein 1
ENSG00000249786.7	0.04	0.03	0.04	0.11	0.09	0.09	EAF1-AS1	chr3	lncRNA	EAF1 antisense RNA 1
ENSG00000065361.17	1.15	0.97	1.17	2.56	2.34	2.39	ERBB3	chr12	protein_coding	erb-b2 receptor tyrosine kinase 3
ENSG00000051009.11	2.18	2.08	2.62	3.14	2.85	3.27	FAM160A2	chr11	protein_coding	--
ENSG00000231407.6	0.0	0.01	0.0	0.0	0.01	0.01	GORAB-AS1	chr1	lncRNA	GORAB antisense RNA 1
ENSG00000203799.13	0.04	0.02	0.04	0.2	0.19	0.19	CCDC162P	chr6	transcribed_unitary_pseudogene	coiled-coil domain containing 162, pseudogene
ENSG00000160145.16	0.06	0.06	0.03	0.06	0.06	0.06	KALRN	chr3	protein_coding	kalirin RhoGEF kinase
ENSG00000270001.1	0.33	0.55	0.81	0.64	0.98	0.8	RP11-218C14.8	chr20	lncRNA	--
ENSG00000273321.1	0.0	0.0	0.0	0.05	0.0	0.0	RP11-621L6.3	chr18	lncRNA	--
ENSG00000273437.1	0.65	0.81	0.77	0.78	1.28	0.47	RP11-434H6.7	chr3	lncRNA	--
ENSG00000256250.1	0.0	0.0	0.0	0.0	0.05	0.0	RP11-989F5.1	chr12	lncRNA	--
ENSG00000132323.9	4.86	5.1	4.96	5.24	5.26	5.25	ILKAP	chr2	protein_coding	ILK associated serine/threonine phosphatase
ENSG00000204876.5	0.02	0.04	0.02	0.0	0.0	0.01	AC021218.2	chr7	lncRNA	--
ENSG00000138660.12	1.38	1.45	1.54	1.59	1.66	2.07	AP1AR	chr4	protein_coding	adaptor related protein complex 1 associated regulatory protein
ENSG00000202314.1	0.37	0.41	0.96	0.72	0.73	1.79	SNORD6	chr11	snoRNA	small nucleolar RNA, C/D box 6
ENSG00000175595.16	0.63	0.58	0.55	0.62	0.58	0.64	ERCC4	chr16	protein_coding	ERCC excision repair 4, endonuclease catalytic subunit
ENSG00000119689.15	24.73	24.54	25.15	27.11	27.11	26.82	DLST	chr14	protein_coding	dihydrolipoamide S-succinyltransferase
ENSG00000176624.12	1.89	1.85	1.82	2.86	2.88	2.96	MEX3C	chr18	protein_coding	mex-3 RNA binding family member C
ENSG00000156103.16	0.03	0.02	0.02	0.03	0.01	0.03	MMP16	chr8	protein_coding	matrix metallopeptidase 16
ENSG00000255727.2	0.0	0.0	0.0	0.08	0.0	0.05	LINC01489	chr12	lncRNA	long intergenic non-protein coding RNA 1489
ENSG00000116885.18	0.41	0.55	0.65	0.95	0.93	0.69	OSCP1	chr1	protein_coding	organic solute carrier partner 1
ENSG00000204261.9	0.7	0.81	0.68	0.54	0.4	0.56	PSMB8-AS1	chr6	lncRNA	PSMB8 antisense RNA 1 (head to head)
ENSG00000196793.14	0.65	0.47	0.55	2.13	2.47	2.25	ZNF239	chr10	protein_coding	zinc finger protein 239
ENSG00000156398.13	0.5	0.53	0.48	0.68	0.68	0.74	SFXN2	chr10	protein_coding	sideroflexin 2
ENSG00000260750.7	0.0	0.0	0.0	0.0	0.02	0.0	RP11-482M8.4	chr16	lncRNA	--
ENSG00000214222.2	0.2	0.15	0.17	0.26	0.13	0.0	TUBBP2	chr13	processed_pseudogene	tubulin beta pseudogene 2
ENSG00000272774.1	0.05	0.06	0.0	0.25	0.1	0.15	RP11-433A10.3	chr3	lncRNA	--
ENSG00000228666.1	0.0	0.02	0.0	0.0	0.0	0.02	KRT18P1	chr6	processed_pseudogene	keratin 18 pseudogene 1
ENSG00000177169.10	4.46	4.33	4.65	6.5	5.58	6.22	ULK1	chr12	protein_coding	unc-51 like autophagy activating kinase 1
ENSG00000229152.2	0.27	0.3	0.23	0.62	0.8	0.72	ANKRD10-IT1	chr13	lncRNA	ANKRD10 intronic transcript 1
