Gene	NC_1	NC_2	NC_3	siFSCN1_1	siFSCN1_2	siFSCN1_3	Symbol	Chr	GeneType	Description
ENSG00000179044.16	1	1	5	7	2	3	EXOC3L1	chr16	protein_coding	exocyst complex component 3 like 1
ENSG00000186908.15	273	269	390	567	557	574	ZDHHC17	chr12	protein_coding	zinc finger DHHC-type palmitoyltransferase 17
ENSG00000079150.18	125	129	179	376	347	328	FKBP7	chr2	protein_coding	FKBP prolyl isomerase 7
ENSG00000279330.1	0	0	0	0	0	1	AJ003147.11	chr16	TEC	--
ENSG00000260360.1	5	9	4	14	19	9	RP11-533E19.5	chr1	lncRNA	--
ENSG00000260923.7	8	4	11	11	8	15	LINC02193	chr16	lncRNA	long intergenic non-protein coding RNA 2193
ENSG00000173085.15	1122	1016	1262	921	946	897	COQ2	chr4	protein_coding	coenzyme Q2, polyprenyltransferase
ENSG00000066230.12	0	0	5	6	3	1	SLC9A3	chr5	protein_coding	solute carrier family 9 member A3
ENSG00000105605.8	52	37	41	68	59	60	CACNG7	chr19	protein_coding	calcium voltage-gated channel auxiliary subunit gamma 7
ENSG00000074416.15	4402	3941	5134	7050	6692	6861	MGLL	chr3	protein_coding	monoglyceride lipase
ENSG00000182021.10	1	0	0	0	0	0	RP11-381O7.3	chr9	transcribed_unprocessed_pseudogene	--
ENSG00000257329.1	0	0	0	0	2	0	RP11-290L1.5	chr12	lncRNA	--
ENSG00000209042.1	1	1	1	2	0	1	SNORD12C	chr20	snoRNA	small nucleolar RNA, C/D box 12C
ENSG00000139914.7	4	0	0	2	4	7	FITM1	chr14	protein_coding	fat storage inducing transmembrane protein 1
ENSG00000169446.6	1294	1122	1496	897	766	873	MMGT1	chrX	protein_coding	membrane magnesium transporter 1
ENSG00000277634.1	0	0	0	0	1	0	Y_RNA	chr14	misc_RNA	--
ENSG00000176293.20	0	3	5	1	6	5	ZNF135	chr19	protein_coding	zinc finger protein 135
ENSG00000236533.1	2	1	1	1	4	2	RPS12P4	chr2	processed_pseudogene	ribosomal protein S12 pseudogene 4
ENSG00000261488.1	10	2	17	20	16	30	TBILA	chr3	lncRNA	TGF-beta induced lncRNA
ENSG00000201581.1	2	0	4	0	0	0	RN7SKP78	chr10	misc_RNA	RN7SK pseudogene 78
ENSG00000160447.7	373	343	462	396	404	395	PKN3	chr9	protein_coding	protein kinase N3
ENSG00000131398.15	37	49	76	109	96	118	KCNC3	chr19	protein_coding	potassium voltage-gated channel subfamily C member 3
ENSG00000257691.2	0	0	0	1	0	0	RP11-345J4.1	chr16	processed_pseudogene	--
ENSG00000278943.1	1	0	4	2	1	0	RP11-142A22.3	chr4	TEC	--
ENSG00000225187.1	0	0	0	3	0	1	AC073283.7	chr2	lncRNA	--
ENSG00000257246.1	0	0	1	0	0	0	PHBP19	chr12	processed_pseudogene	prohibitin pseudogene 19
ENSG00000212517.1	0	0	0	1	1	0	ENSG10010135905.1	chr20	snoRNA	--
ENSG00000106462.12	1024	887	1203	1121	1214	1132	EZH2	chr7	protein_coding	enhancer of zeste 2 polycomb repressive complex 2 subunit
ENSG00000259352.1	17	10	18	4	9	8	RP11-109D20.2	chr15	lncRNA	--
ENSG00000152642.11	458	398	565	754	718	744	GPD1L	chr3	protein_coding	glycerol-3-phosphate dehydrogenase 1 like
ENSG00000251187.5	1	4	4	1	4	4	CTC-459M5.2	chr5	lncRNA	--
ENSG00000145982.13	373	284	420	264	256	294	FARS2	chr6	protein_coding	phenylalanyl-tRNA synthetase 2, mitochondrial
ENSG00000267169.2	13	20	16	17	24	14	ADGRL1-AS1	chr19	lncRNA	ADGRL1 antisense RNA 1
ENSG00000109790.18	1893	1757	2384	2156	2136	2395	KLHL5	chr4	protein_coding	kelch like family member 5
ENSG00000258461.5	3	4	4	23	43	28	RP11-164J13.1	chr15	protein_coding	--
ENSG00000276966.2	20	7	16	12	11	21	H4C5	chr6	protein_coding	H4 clustered histone 5
ENSG00000169100.14	359	370	476	241	259	218	SLC25A6	chrX	protein_coding	solute carrier family 25 member 6
ENSG00000183579.16	1062	969	1206	1214	1301	1306	ZNRF3	chr22	protein_coding	zinc and ring finger 3
ENSG00000235207.1	0	0	1	0	0	0	TUBBP6	chr7	processed_pseudogene	tubulin beta class I pseudogene 6
ENSG00000091010.6	0	3	0	2	2	2	POU4F3	chr5	protein_coding	POU class 4 homeobox 3
ENSG00000238755.3	0	0	0	1	1	2	LINC02006	chr3	lncRNA	long intergenic non-protein coding RNA 2006
ENSG00000255308.1	0	0	1	1	0	0	CSRP3-AS1	chr11	lncRNA	CSRP3 and E2F8 antisense RNA 1
ENSG00000229474.8	5	1	5	5	1	3	PATL2	chr15	protein_coding	PAT1 homolog 2
ENSG00000270574.1	16	17	22	24	29	14	RP11-171I2.2	chr2	lncRNA	--
ENSG00000163866.9	1097	876	1251	914	903	894	SMIM12	chr1	protein_coding	small integral membrane protein 12
ENSG00000268903.1	4	2	6	3	4	4	RP11-34P13.15	chr1	processed_pseudogene	--
ENSG00000149452.16	0	0	0	0	0	1	SLC22A8	chr11	protein_coding	solute carrier family 22 member 8
ENSG00000266378.1	0	0	0	0	0	1	RP11-214O1.3	chr17	lncRNA	--
ENSG00000142409.6	2121	1735	2251	2571	2187	2211	ZNF787	chr19	protein_coding	zinc finger protein 787
ENSG00000235174.1	110	111	159	86	93	75	RPL39P3	chr6	processed_pseudogene	ribosomal protein L39 pseudogene 3
ENSG00000229292.2	0	0	0	0	2	0	RFPL4AL1	chr19	protein_coding	ret finger protein like 4A like 1
ENSG00000272542.1	0	0	0	0	1	0	RP11-255P5.2	chr13	lncRNA	--
ENSG00000082482.14	2	0	0	0	1	1	KCNK2	chr1	protein_coding	potassium two pore domain channel subfamily K member 2
ENSG00000274937.1	0	0	0	0	2	0	CTD-2311M21.4	chr15	lncRNA	--
ENSG00000171488.15	282	249	350	221	206	237	LRRC8C	chr1	protein_coding	leucine rich repeat containing 8 VRAC subunit C
ENSG00000280335.1	0	0	0	0	1	0	RP11-15F12.6	chr18	TEC	--
ENSG00000271918.1	12	17	36	58	41	43	CTD-2287O16.5	chr5	lncRNA	--
ENSG00000141295.14	967	791	1087	887	793	799	SCRN2	chr17	protein_coding	secernin 2
ENSG00000267346.1	2	0	2	0	0	5	EIF5AP3	chr19	processed_pseudogene	eukaryotic translation initiation factor 5A pseudogene 3
ENSG00000276814.1	15	13	16	18	8	8	RP1-228P16.8	chr12	lncRNA	--
ENSG00000224261.2	4	3	8	10	7	13	RPSAP18	chr1	processed_pseudogene	ribosomal protein SA pseudogene 18
ENSG00000037280.16	145	136	170	140	143	125	FLT4	chr5	protein_coding	fms related receptor tyrosine kinase 4
ENSG00000177599.13	1	0	0	0	0	0	ZNF491	chr19	protein_coding	zinc finger protein 491
ENSG00000274712.2	23	25	26	28	23	28	RP11-147L13.15	chr17	transcribed_unprocessed_pseudogene	--
ENSG00000279320.1	5	2	4	6	9	6	RP11-329N15.3	chr3	TEC	--
ENSG00000273180.1	0	0	0	0	0	2	RP11-335L23.4	chr4	lncRNA	--
ENSG00000224839.1	0	0	1	0	0	0	RPL12P17	chr2	processed_pseudogene	ribosomal protein L12 pseudogene 17
ENSG00000262879.6	221	231	271	250	257	277	RP11-156P1.3	chr17	lncRNA	--
ENSG00000127054.21	1375	1250	1586	1661	1584	1376	INTS11	chr1	protein_coding	integrator complex subunit 11
ENSG00000242327.1	1	0	0	0	0	0	CTD-2184D3.1	chr15	processed_pseudogene	--
ENSG00000154188.10	10	17	10	52	67	51	ANGPT1	chr8	protein_coding	angiopoietin 1
ENSG00000111716.14	1884	1613	2653	2126	2109	2092	LDHB	chr12	protein_coding	lactate dehydrogenase B
ENSG00000226453.2	0	0	2	1	0	2	LINC02542	chr6	lncRNA	long intergenic non-protein coding RNA 2542
ENSG00000140688.17	1697	1437	1877	2647	2565	2620	RUSF1	chr16	protein_coding	RUS family member 1
ENSG00000100802.15	175	168	235	316	303	264	C14orf93	chr14	protein_coding	chromosome 14 open reading frame 93
ENSG00000286084.2	0	0	0	2	4	4	RP3-359N14.3	chr6	lncRNA	--
ENSG00000120696.9	197	192	243	253	277	260	KBTBD7	chr13	protein_coding	kelch repeat and BTB domain containing 7
ENSG00000174953.14	1471	1288	1642	1723	1598	1883	DHX36	chr3	protein_coding	DEAH-box helicase 36
ENSG00000269026.2	7	6	0	5	4	6	AC003006.7	chr19	protein_coding	--
ENSG00000286244.1	0	0	1	0	0	1	RP11-51I5.2	chr2	lncRNA	--
ENSG00000148671.14	7	10	1	10	1	1	ADIRF	chr10	protein_coding	adipogenesis regulatory factor
ENSG00000125885.13	1135	1128	1361	908	861	967	MCM8	chr20	protein_coding	minichromosome maintenance 8 homologous recombination repair factor
ENSG00000116741.8	183	178	221	183	182	216	RGS2	chr1	protein_coding	regulator of G protein signaling 2
ENSG00000135999.12	248	187	309	306	303	325	EPC2	chr2	protein_coding	enhancer of polycomb homolog 2
ENSG00000258314.3	25	28	21	18	5	7	CTD-2314B22.1	chr14	lncRNA	--
ENSG00000084453.17	9	4	8	16	21	23	SLCO1A2	chr12	protein_coding	solute carrier organic anion transporter family member 1A2
ENSG00000285783.1	0	0	0	1	0	0	RP11-1289C17.1	chr4	lncRNA	--
ENSG00000259172.1	52	30	48	98	111	116	RP11-299G20.2	chr15	lncRNA	--
ENSG00000164796.18	0	0	0	0	0	1	CSMD3	chr8	protein_coding	CUB and Sushi multiple domains 3
ENSG00000105679.9	3	8	8	11	4	11	GAPDHS	chr19	protein_coding	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
ENSG00000026508.20	10920	9984	12569	8490	7833	8153	CD44	chr11	protein_coding	CD44 molecule (Indian blood group)
ENSG00000237037.9	10	8	15	12	15	4	NDUFA6-DT	chr22	lncRNA	NDUFA6 divergent transcript
ENSG00000239415.1	4	8	2	12	14	10	AP001469.9	chr21	lncRNA	--
ENSG00000130958.13	270	229	268	350	329	342	SLC35D2	chr9	protein_coding	solute carrier family 35 member D2
ENSG00000168283.14	818	779	1008	1159	1130	1158	BMI1	chr10	protein_coding	BMI1 proto-oncogene, polycomb ring finger
ENSG00000187372.11	6	6	3	5	11	5	PCDHB13	chr5	protein_coding	protocadherin beta 13
ENSG00000129315.11	693	658	826	737	764	882	CCNT1	chr12	protein_coding	cyclin T1
ENSG00000087206.17	974	869	1026	1120	1154	1243	UIMC1	chr5	protein_coding	ubiquitin interaction motif containing 1
ENSG00000152056.17	1797	1772	2068	1030	959	1012	AP1S3	chr2	protein_coding	adaptor related protein complex 1 subunit sigma 3
ENSG00000258359.1	6	4	3	3	7	1	PCNPP1	chr12	processed_pseudogene	PEST containing nuclear protein pseudogene 1
ENSG00000133056.14	496	426	529	572	468	563	PIK3C2B	chr1	protein_coding	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
ENSG00000269902.1	0	2	0	0	0	7	RP6-99M1.3	chrX	lncRNA	--
ENSG00000280110.1	1	0	1	1	2	0	RP11-423G4.8	chr12	TEC	--
ENSG00000254996.5	222	192	368	389	326	367	ANKHD1-EIF4EBP3	chr5	protein_coding	ANKHD1-EIF4EBP3 readthrough
ENSG00000223797.6	76	79	61	91	76	109	ENTPD3-AS1	chr3	lncRNA	ENTPD3 antisense RNA 1
ENSG00000283597.3	0	1	0	0	0	2	FAM169B	chr15	transcribed_unitary_pseudogene	family with sequence similarity 169 member B
ENSG00000272146.6	13	14	12	17	24	10	ARF4-AS1	chr3	lncRNA	ARF4 antisense RNA 1
ENSG00000130340.17	935	981	1133	1159	1212	1222	SNX9	chr6	protein_coding	sorting nexin 9
ENSG00000108244.17	3	2	6	0	0	0	KRT23	chr17	protein_coding	keratin 23
ENSG00000168952.15	114	120	160	181	155	174	STXBP6	chr14	protein_coding	syntaxin binding protein 6
ENSG00000287165.1	0	2	0	2	0	3	RP11-395L14.19	chr2	lncRNA	--
ENSG00000244513.7	20	16	19	11	19	14	CTD-2013N24.2	chr3	lncRNA	--
ENSG00000103051.20	1366	1078	1435	1524	1470	1431	COG4	chr16	protein_coding	component of oligomeric golgi complex 4
ENSG00000233967.7	2	1	0	7	16	3	RP11-250B2.3	chr6	lncRNA	--
ENSG00000221886.4	83	79	111	175	197	209	ZBED8	chr5	protein_coding	zinc finger BED-type containing 8
ENSG00000175707.9	0	0	0	1	0	0	KDF1	chr1	protein_coding	keratinocyte differentiation factor 1
ENSG00000099381.19	770	784	1005	1027	961	1001	SETD1A	chr16	protein_coding	SET domain containing 1A, histone lysine methyltransferase
ENSG00000183307.4	5	11	10	8	8	4	TMEM121B	chr22	protein_coding	transmembrane protein 121B
ENSG00000200879.1	1	3	7	2	4	1	SNORD14E	chr11	snoRNA	small nucleolar RNA, C/D box 14E
ENSG00000198752.11	2962	2752	3521	3522	3398	3716	CDC42BPB	chr14	protein_coding	CDC42 binding protein kinase beta
ENSG00000205537.2	0	0	0	0	1	0	RP11-89H19.1	chr12	lncRNA	--
ENSG00000270106.6	6	2	4	6	1	2	TSNAX-DISC1	chr1	protein_coding	TSNAX-DISC1 readthrough (NMD candidate)
ENSG00000141371.13	1	2	0	0	0	0	C17orf64	chr17	protein_coding	chromosome 17 open reading frame 64
ENSG00000170465.10	45	21	9	3	6	11	KRT6C	chr12	protein_coding	keratin 6C
ENSG00000168481.9	85	60	91	57	66	65	LGI3	chr8	protein_coding	leucine rich repeat LGI family member 3
ENSG00000200959.1	5	0	0	0	0	7	SNORA74A	chr5	snoRNA	small nucleolar RNA, H/ACA box 74A
ENSG00000230753.6	0	1	0	0	1	0	ZNF341-AS1	chr20	lncRNA	ZNF341 antisense RNA 1
ENSG00000225563.2	0	1	0	0	0	0	AC006076.1	chr20	lncRNA	--
ENSG00000205755.12	1	0	0	1	1	3	CRLF2	chrX	protein_coding	cytokine receptor like factor 2
ENSG00000259120.3	340	323	413	348	316	258	SMIM6	chr17	protein_coding	small integral membrane protein 6
ENSG00000227515.3	0	0	1	0	0	0	C1DP4	chr10	processed_pseudogene	C1D nuclear receptor corepressor pseudogene 4
ENSG00000237217.1	0	0	0	0	0	1	AC008074.5	chr2	processed_pseudogene	--
ENSG00000228072.1	0	0	0	1	0	1	RP11-255A11.2	chr9	lncRNA	--
ENSG00000128872.10	141	91	156	118	133	183	TMOD2	chr15	protein_coding	tropomodulin 2
ENSG00000130948.10	0	1	0	33	25	24	HSD17B3	chr9	protein_coding	hydroxysteroid 17-beta dehydrogenase 3
ENSG00000285051.2	0	0	1	1	2	1	SLC7A14-AS1	chr3	lncRNA	SLC7A14 antisense RNA 1
ENSG00000134769.23	10	7	8	16	36	29	DTNA	chr18	protein_coding	dystrobrevin alpha
ENSG00000106541.12	5370	4318	6247	10694	9967	9376	AGR2	chr7	protein_coding	anterior gradient 2, protein disulphide isomerase family member
ENSG00000285827.1	3157	2715	3463	3403	3106	2837	RP11-770J1.8	chr11	protein_coding	--
ENSG00000266619.1	1	0	0	0	0	0	MIR4642	chr6	miRNA	microRNA 4642
ENSG00000151498.12	443	384	477	525	443	490	ACAD8	chr11	protein_coding	acyl-CoA dehydrogenase family member 8
ENSG00000175294.6	26	13	17	6	6	12	CATSPER1	chr11	protein_coding	cation channel sperm associated 1
ENSG00000244398.1	703	682	808	613	657	548	RP11-466H18.1	chr11	processed_pseudogene	--
ENSG00000253317.1	0	0	1	3	2	4	RP11-142A23.1	chr8	lncRNA	--
ENSG00000007384.15	455	449	577	890	816	850	RHBDF1	chr16	protein_coding	rhomboid 5 homolog 1
ENSG00000279168.2	0	0	0	2	3	0	RP11-514P8.10	chr7	lncRNA	--
ENSG00000116830.12	592	518	673	459	434	490	TTF2	chr1	protein_coding	transcription termination factor 2
ENSG00000163612.10	0	1	0	4	1	0	FAM86KP	chr4	unprocessed_pseudogene	family with sequence similarity 86 member K, pseudogene
ENSG00000260306.1	4	3	9	25	26	21	RP11-645C24.5	chr16	lncRNA	--
ENSG00000173327.8	2132	1830	2526	950	777	791	MAP3K11	chr11	protein_coding	mitogen-activated protein kinase kinase kinase 11
ENSG00000267396.1	3	0	0	1	2	2	RP11-845C23.3	chr18	lncRNA	--
ENSG00000101188.5	0	1	1	0	1	0	NTSR1	chr20	protein_coding	neurotensin receptor 1
ENSG00000156509.14	66	46	82	144	110	132	FBXO43	chr8	protein_coding	F-box protein 43
ENSG00000145919.11	1511	1340	1715	1855	1878	1835	BOD1	chr5	protein_coding	biorientation of chromosomes in cell division 1
ENSG00000135643.5	179	218	239	89	122	131	KCNMB4	chr12	protein_coding	potassium calcium-activated channel subfamily M regulatory beta subunit 4
ENSG00000269388.1	36	19	25	69	89	74	AC018755.16	chr19	transcribed_processed_pseudogene	--
ENSG00000150672.18	5	3	4	8	6	7	DLG2	chr11	protein_coding	discs large MAGUK scaffold protein 2
ENSG00000021776.11	1613	1626	2024	1668	1608	1809	AQR	chr15	protein_coding	aquarius intron-binding spliceosomal factor
ENSG00000201573.1	0	1	0	0	0	1	Y_RNA	chr14	misc_RNA	--
ENSG00000114395.11	390	348	468	456	376	315	CYB561D2	chr3	protein_coding	cytochrome b561 family member D2
ENSG00000260368.1	8	7	8	7	10	1	RP11-521I2.3	chr8	lncRNA	--
ENSG00000134470.21	68	89	109	63	74	68	IL15RA	chr10	protein_coding	interleukin 15 receptor subunit alpha
ENSG00000164621.5	5	2	3	6	2	3	SMAD5-AS1	chr5	lncRNA	SMAD5 antisense RNA 1
ENSG00000233913.7	24	23	48	28	16	16	RPL10P9	chr5	processed_pseudogene	ribosomal protein L10 pseudogene 9
ENSG00000177732.9	1736	1501	2032	3294	3126	3182	SOX12	chr20	protein_coding	SRY-box transcription factor 12
ENSG00000151240.17	248	225	290	537	583	599	DIP2C	chr10	protein_coding	disco interacting protein 2 homolog C
ENSG00000251533.2	5	4	7	6	7	7	LINC00605	chr14	lncRNA	long intergenic non-protein coding RNA 605
ENSG00000288683.1	21	12	16	22	26	18	AC008079.12	chr22	protein_coding	--
ENSG00000268510.1	0	2	0	0	0	0	IFNL3P1	chr19	unprocessed_pseudogene	interferon lambda 3 pseudogene 1
ENSG00000267054.1	0	0	0	0	0	1	CTD-2540B15.10	chr19	lncRNA	--
ENSG00000167930.17	1391	1162	1650	3000	2672	2573	FAM234A	chr16	protein_coding	family with sequence similarity 234 member A
ENSG00000184270.6	21	0	0	5	1	8	H2AC21	chr1	protein_coding	H2A clustered histone 21
ENSG00000269242.1	295	285	413	601	613	542	CTD-2192J16.22	chr19	protein_coding	--
ENSG00000210184.1	27	28	54	53	80	69	MT-TS2	chrM	Mt_tRNA	mitochondrially encoded tRNA-Ser (AGU/C) 2
ENSG00000225766.10	4	1	5	13	10	4	DHRS4L1	chr14	transcribed_unprocessed_pseudogene	dehydrogenase/reductase 4 like 1 (pseudogene)
ENSG00000242337.5	4	1	0	0	2	4	INHCAP	chr3	transcribed_unprocessed_pseudogene	inhibitor of carbonic anhydrase pseudogene
ENSG00000233791.5	3	0	1	3	3	3	LINC01136	chr1	lncRNA	long intergenic non-protein coding RNA 1136
ENSG00000141452.10	528	553	697	299	305	311	RMC1	chr18	protein_coding	regulator of MON1-CCZ1
ENSG00000120008.16	968	809	1094	978	959	1086	WDR11	chr10	protein_coding	WD repeat domain 11
ENSG00000197467.17	12	5	6	0	5	5	COL13A1	chr10	protein_coding	collagen type XIII alpha 1 chain
ENSG00000222014.6	4	0	1	2	1	1	RAB6C	chr2	protein_coding	RAB6C, member RAS oncogene family
ENSG00000242866.10	0	0	0	6	4	11	STRC	chr15	protein_coding	stereocilin
ENSG00000265123.2	0	0	0	0	1	0	RN7SL200P	chr6	misc_RNA	RNA, 7SL, cytoplasmic 200, pseudogene
ENSG00000180817.12	5840	5489	6966	3462	3079	3309	PPA1	chr10	protein_coding	inorganic pyrophosphatase 1
ENSG00000260877.2	29	20	29	80	75	96	RP11-211G23.2	chr11	lncRNA	--
ENSG00000228570.8	8	2	12	19	5	5	NUTM2E	chr10	protein_coding	NUT family member 2E
ENSG00000286503.1	3	0	0	0	1	0	CTC-352J10.1	chr5	lncRNA	--
ENSG00000281883.1	0	0	1	6	8	3	RP11-65B7.2	chr13	protein_coding	--
ENSG00000114115.10	17	27	48	8	9	8	RBP1	chr3	protein_coding	retinol binding protein 1
ENSG00000103187.8	13974	13435	16208	14352	14999	14471	COTL1	chr16	protein_coding	coactosin like F-actin binding protein 1
ENSG00000154582.17	3257	3177	3869	2697	2595	2555	ELOC	chr8	protein_coding	elongin C
ENSG00000272509.1	0	4	5	11	14	10	RP11-347C18.5	chr8	lncRNA	--
ENSG00000283828.1	4	1	4	10	10	8	RP11-98F14.12	chr13	lncRNA	--
ENSG00000101412.13	1823	1502	2223	1825	1700	1583	E2F1	chr20	protein_coding	E2F transcription factor 1
ENSG00000227383.1	0	0	0	0	0	1	RPL35AP2	chr9	processed_pseudogene	ribosomal protein L35a pseudogene 2
ENSG00000275695.1	2	0	2	0	0	0	UBE2Q2P6	chr15	transcribed_unprocessed_pseudogene	ubiquitin conjugating enzyme E2 Q2 pseudogene 6
ENSG00000259592.1	0	0	2	2	1	0	PRELID1P4	chr15	processed_pseudogene	PRELID1 pseudogene 4
ENSG00000271449.8	1	0	0	0	0	0	CT45A2	chrX	protein_coding	cancer/testis antigen family 45 member A2
ENSG00000162385.11	645	606	796	660	605	622	MAGOH	chr1	protein_coding	mago homolog, exon junction complex subunit
ENSG00000287158.1	4	2	2	3	1	3	RP11-412N9.1	chr3	lncRNA	--
ENSG00000234040.3	0	0	0	0	1	0	RPL10P12	chr12	processed_pseudogene	ribosomal protein L10 pseudogene 12
ENSG00000156711.17	5	8	1	23	11	13	MAPK13	chr6	protein_coding	mitogen-activated protein kinase 13
ENSG00000279592.1	18	8	21	9	11	7	RP11-417N10.4	chr16	TEC	--
ENSG00000196741.5	11	17	21	36	39	27	LINC01560	chrX	lncRNA	long intergenic non-protein coding RNA 1560
ENSG00000196182.11	315	301	364	438	426	464	STK40	chr1	protein_coding	serine/threonine kinase 40
ENSG00000068885.15	244	213	323	395	390	439	IFT80	chr3	protein_coding	intraflagellar transport 80
ENSG00000167554.15	1	0	1	0	4	0	ZNF610	chr19	protein_coding	zinc finger protein 610
ENSG00000278993.1	18	13	14	11	19	19	RP3-424M6.4	chr12	TEC	--
ENSG00000260259.1	21	17	16	26	26	21	LINC02166	chr16	lncRNA	long intergenic non-protein coding RNA 2166
ENSG00000135423.13	1	1	3	2	5	10	GLS2	chr12	protein_coding	glutaminase 2
ENSG00000287543.1	5	4	3	1	2	0	RP11-941F15.2	chr15	lncRNA	--
ENSG00000125434.11	302	292	339	337	345	346	SLC25A35	chr17	protein_coding	solute carrier family 25 member 35
ENSG00000187957.8	65	72	81	74	92	80	DNER	chr2	protein_coding	delta/notch like EGF repeat containing
ENSG00000179335.20	867	784	998	953	904	926	CLK3	chr15	protein_coding	CDC like kinase 3
ENSG00000167157.11	25	17	31	19	22	23	PRRX2	chr9	protein_coding	paired related homeobox 2
ENSG00000239713.9	0	0	1	0	0	1	APOBEC3G	chr22	protein_coding	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
ENSG00000021826.17	4105	3291	4455	6316	6585	6335	CPS1	chr2	protein_coding	carbamoyl-phosphate synthase 1
ENSG00000272319.2	0	0	0	0	0	1	AL022345.7	chr10	unprocessed_pseudogene	--
ENSG00000256442.2	2	0	0	0	1	0	RP11-705C15.4	chr12	lncRNA	--
ENSG00000150783.10	0	1	0	0	4	0	TEX12	chr11	protein_coding	testis expressed 12
ENSG00000198920.11	457	482	526	575	480	542	KIAA0753	chr17	protein_coding	KIAA0753
ENSG00000133641.18	660	694	917	658	652	698	C12orf29	chr12	protein_coding	chromosome 12 open reading frame 29
ENSG00000282968.1	0	0	0	0	0	4	AGGF1P10	chr20	processed_pseudogene	angiogenic factor with G-patch and FHA domains 1 pseudogene 10
ENSG00000182223.7	6	0	1	0	0	0	ZAR1	chr4	protein_coding	zygote arrest 1
ENSG00000162782.16	6	7	8	8	9	18	TDRD5	chr1	protein_coding	tudor domain containing 5
ENSG00000248092.8	64	40	66	154	156	190	NNT-AS1	chr5	lncRNA	NNT antisense RNA 1
ENSG00000258945.1	1	0	0	1	1	0	RP11-497E19.2	chr14	lncRNA	--
ENSG00000256950.2	0	0	0	3	4	1	RP11-87C12.2	chr12	protein_coding	--
ENSG00000274765.1	0	0	0	3	2	1	RP11-139H15.7	chr15	lncRNA	--
ENSG00000288033.1	1	5	0	6	3	7	RP13-46H24.3	chr11	lncRNA	--
ENSG00000167600.14	1563	1347	1814	1836	1596	1646	CYP2S1	chr19	protein_coding	cytochrome P450 family 2 subfamily S member 1
ENSG00000256512.1	1	1	1	0	2	1	RP11-860B13.3	chr12	lncRNA	--
ENSG00000113282.14	1889	1767	2318	1971	2115	2171	CLINT1	chr5	protein_coding	clathrin interactor 1
ENSG00000122012.14	0	0	0	1	0	0	SV2C	chr5	protein_coding	synaptic vesicle glycoprotein 2C
ENSG00000155918.8	0	1	4	0	3	0	RAET1L	chr6	protein_coding	retinoic acid early transcript 1L
ENSG00000279059.1	143	158	198	261	246	237	RP11-257O5.2	chr17	TEC	--
ENSG00000254503.1	0	1	0	0	0	0	CTD-2521M24.4	chr19	processed_pseudogene	--
ENSG00000109332.20	6541	5867	7511	4286	3961	4354	UBE2D3	chr4	protein_coding	ubiquitin conjugating enzyme E2 D3
ENSG00000115896.16	1	0	0	0	0	0	PLCL1	chr2	protein_coding	phospholipase C like 1 (inactive)
ENSG00000275234.1	102	62	105	114	91	111	CTD-2396E7.11	chr19	lncRNA	--
ENSG00000144406.19	0	0	1	1	1	0	UNC80	chr2	protein_coding	unc-80 homolog, NALCN channel complex subunit
ENSG00000225082.2	0	0	0	1	0	0	DAP3P1	chr1	unprocessed_pseudogene	death associated protein 3 pseudogene 1
ENSG00000102890.16	38	44	77	89	71	66	ELMO3	chr16	protein_coding	engulfment and cell motility 3
ENSG00000184160.8	166	139	167	202	193	166	ADRA2C	chr4	protein_coding	adrenoceptor alpha 2C
ENSG00000188850.9	4	8	6	13	28	17	RP11-159F24.2	chr5	transcribed_processed_pseudogene	--
ENSG00000166272.18	1144	1051	1247	1581	1521	1713	WBP1L	chr10	protein_coding	WW domain binding protein 1 like
ENSG00000279827.1	27	27	37	12	12	20	RP11-886P16.10	chr19	TEC	--
ENSG00000235734.4	3	1	1	1	1	1	HMGN1P36	chr2	processed_pseudogene	high mobility group nucleosome binding domain 1 pseudogene 36
ENSG00000197279.5	25	35	60	53	50	39	ZNF165	chr6	protein_coding	zinc finger protein 165
ENSG00000234676.1	2	2	2	6	2	0	IFT74-AS1	chr9	lncRNA	IFT74 antisense RNA 1
ENSG00000177119.17	1602	1562	1929	2367	2189	2457	ANO6	chr12	protein_coding	anoctamin 6
ENSG00000102962.5	12	4	3	5	0	0	CCL22	chr16	protein_coding	C-C motif chemokine ligand 22
ENSG00000256075.1	0	0	0	1	0	0	RP11-81H14.3	chr12	processed_pseudogene	--
ENSG00000280233.1	0	1	1	0	0	0	RP11-159D12.3	chr17	TEC	--
ENSG00000236935.1	0	2	0	0	3	1	AP003774.1	chr11	lncRNA	--
ENSG00000227630.4	0	0	0	1	2	0	LINC01132	chr1	lncRNA	long intergenic non-protein coding RNA 1132
ENSG00000100206.10	32	34	51	57	50	38	DMC1	chr22	protein_coding	DNA meiotic recombinase 1
ENSG00000233585.2	0	1	3	11	11	16	AC115617.2	chrX	transcribed_processed_pseudogene	--
ENSG00000224349.2	0	2	5	1	0	3	FAM135A-AS1	chr6	lncRNA	FAM135A antisense RNA 1
ENSG00000116857.17	1827	1532	2025	2106	1965	1956	TMEM9	chr1	protein_coding	transmembrane protein 9
ENSG00000229109.2	4	0	1	2	0	5	RP11-439K3.1	chr9	lncRNA	--
